YYYY-MM,State,Type,Source,Capacity_MW
01-01-2020,Andaman & Nicobar,Non-Renewable,Hydro,0
01-01-2020,Andaman & Nicobar,Non-Renewable,Natural Gas,0
01-01-2020,Andaman & Nicobar,Non-Renewable,Nuclear,0
01-01-2020,Andaman & Nicobar,Non-Renewable,Thermal,40.048
01-01-2020,Andaman & Nicobar,Renewable,Bio Bagasse Cogen,0
01-01-2020,Andaman & Nicobar,Renewable,Bio Other Cogen,0
01-01-2020,Andaman & Nicobar,Renewable,Bio Waste,0
01-01-2020,Andaman & Nicobar,Renewable,Bio Waster Offgrid,0
01-01-2020,Andaman & Nicobar,Renewable,Small Hydro,5.25
01-01-2020,Andaman & Nicobar,Renewable,Solar Ground,7.6
01-01-2020,Andaman & Nicobar,Renewable,Solar Ground Based,0
01-01-2020,Andaman & Nicobar,Renewable,Solar Hybrid,0
01-01-2020,Andaman & Nicobar,Renewable,Solar Offgrid,0
01-01-2020,Andaman & Nicobar,Renewable,Solar Rooftop,4.59
01-01-2020,Andaman & Nicobar,Renewable,Wind,0
01-01-2020,Andhra Pradesh,Non-Renewable,Hydro,1610
01-01-2020,Andhra Pradesh,Non-Renewable,Natural Gas,4898.544
01-01-2020,Andhra Pradesh,Non-Renewable,Nuclear,0
01-01-2020,Andhra Pradesh,Non-Renewable,Thermal,11626.8
01-01-2020,Andhra Pradesh,Renewable,Bio Bagasse Cogen,378.2
01-01-2020,Andhra Pradesh,Renewable,Bio Other Cogen,98.98
01-01-2020,Andhra Pradesh,Renewable,Bio Waste,23.16
01-01-2020,Andhra Pradesh,Renewable,Bio Waster Offgrid,0
01-01-2020,Andhra Pradesh,Renewable,Small Hydro,162.11
01-01-2020,Andhra Pradesh,Renewable,Solar Ground,3470.99
01-01-2020,Andhra Pradesh,Renewable,Solar Ground Based,0
01-01-2020,Andhra Pradesh,Renewable,Solar Hybrid,0
01-01-2020,Andhra Pradesh,Renewable,Solar Offgrid,0
01-01-2020,Andhra Pradesh,Renewable,Solar Rooftop,88.03
01-01-2020,Andhra Pradesh,Renewable,Wind,4092.45
01-01-2020,Arunachal Pradesh,Non-Renewable,Hydro,515
01-01-2020,Arunachal Pradesh,Non-Renewable,Natural Gas,0
01-01-2020,Arunachal Pradesh,Non-Renewable,Nuclear,0
01-01-2020,Arunachal Pradesh,Non-Renewable,Thermal,0
01-01-2020,Arunachal Pradesh,Renewable,Bio Bagasse Cogen,0
01-01-2020,Arunachal Pradesh,Renewable,Bio Other Cogen,0
01-01-2020,Arunachal Pradesh,Renewable,Bio Waste,0
01-01-2020,Arunachal Pradesh,Renewable,Bio Waster Offgrid,0
01-01-2020,Arunachal Pradesh,Renewable,Small Hydro,131.105
01-01-2020,Arunachal Pradesh,Renewable,Solar Ground,1.27
01-01-2020,Arunachal Pradesh,Renewable,Solar Ground Based,0
01-01-2020,Arunachal Pradesh,Renewable,Solar Hybrid,0
01-01-2020,Arunachal Pradesh,Renewable,Solar Offgrid,0
01-01-2020,Arunachal Pradesh,Renewable,Solar Rooftop,4.34
01-01-2020,Arunachal Pradesh,Renewable,Wind,0
01-01-2020,Assam,Non-Renewable,Hydro,350
01-01-2020,Assam,Non-Renewable,Natural Gas,619.205
01-01-2020,Assam,Non-Renewable,Nuclear,0
01-01-2020,Assam,Non-Renewable,Thermal,750
01-01-2020,Assam,Renewable,Bio Bagasse Cogen,0
01-01-2020,Assam,Renewable,Bio Other Cogen,0
01-01-2020,Assam,Renewable,Bio Waste,0
01-01-2020,Assam,Renewable,Bio Waster Offgrid,0
01-01-2020,Assam,Renewable,Small Hydro,34.11
01-01-2020,Assam,Renewable,Solar Ground,10.67
01-01-2020,Assam,Renewable,Solar Ground Based,0
01-01-2020,Assam,Renewable,Solar Hybrid,0
01-01-2020,Assam,Renewable,Solar Offgrid,0
01-01-2020,Assam,Renewable,Solar Rooftop,30.56
01-01-2020,Assam,Renewable,Wind,0
01-01-2020,Bihar,Non-Renewable,Hydro,0
01-01-2020,Bihar,Non-Renewable,Natural Gas,0
01-01-2020,Bihar,Non-Renewable,Nuclear,0
01-01-2020,Bihar,Non-Renewable,Thermal,6390
01-01-2020,Bihar,Renewable,Bio Bagasse Cogen,113
01-01-2020,Bihar,Renewable,Bio Other Cogen,8.2
01-01-2020,Bihar,Renewable,Bio Waste,0
01-01-2020,Bihar,Renewable,Bio Waster Offgrid,0
01-01-2020,Bihar,Renewable,Small Hydro,70.7
01-01-2020,Bihar,Renewable,Solar Ground,138.93
01-01-2020,Bihar,Renewable,Solar Ground Based,0
01-01-2020,Bihar,Renewable,Solar Hybrid,0
01-01-2020,Bihar,Renewable,Solar Offgrid,0
01-01-2020,Bihar,Renewable,Solar Rooftop,12.64
01-01-2020,Bihar,Renewable,Wind,0
01-01-2020,Chandigarh,Renewable,Bio Bagasse Cogen,0
01-01-2020,Chandigarh,Renewable,Bio Other Cogen,0
01-01-2020,Chandigarh,Renewable,Bio Waste,0
01-01-2020,Chandigarh,Renewable,Bio Waster Offgrid,0
01-01-2020,Chandigarh,Renewable,Small Hydro,0
01-01-2020,Chandigarh,Renewable,Solar Ground,6.34
01-01-2020,Chandigarh,Renewable,Solar Ground Based,0
01-01-2020,Chandigarh,Renewable,Solar Hybrid,0
01-01-2020,Chandigarh,Renewable,Solar Offgrid,0
01-01-2020,Chandigarh,Renewable,Solar Rooftop,30.65
01-01-2020,Chandigarh,Renewable,Wind,0
01-01-2020,Chhatisgarh,Non-Renewable,Hydro,120
01-01-2020,Chhatisgarh,Non-Renewable,Natural Gas,0
01-01-2020,Chhatisgarh,Non-Renewable,Nuclear,0
01-01-2020,Chhatisgarh,Non-Renewable,Thermal,23128
01-01-2020,Chhatisgarh,Renewable,Bio Bagasse Cogen,228
01-01-2020,Chhatisgarh,Renewable,Bio Other Cogen,2.5
01-01-2020,Chhatisgarh,Renewable,Bio Waste,0
01-01-2020,Chhatisgarh,Renewable,Bio Waster Offgrid,0
01-01-2020,Chhatisgarh,Renewable,Small Hydro,76
01-01-2020,Chhatisgarh,Renewable,Solar Ground,215.83
01-01-2020,Chhatisgarh,Renewable,Solar Ground Based,0
01-01-2020,Chhatisgarh,Renewable,Solar Hybrid,0
01-01-2020,Chhatisgarh,Renewable,Solar Offgrid,0
01-01-2020,Chhatisgarh,Renewable,Solar Rooftop,15.52
01-01-2020,Chhatisgarh,Renewable,Wind,0
01-01-2020,Dadar & Nagar Haveli,Renewable,Bio Bagasse Cogen,0
01-01-2020,Dadar & Nagar Haveli,Renewable,Bio Other Cogen,0
01-01-2020,Dadar & Nagar Haveli,Renewable,Bio Waste,0
01-01-2020,Dadar & Nagar Haveli,Renewable,Bio Waster Offgrid,0
01-01-2020,Dadar & Nagar Haveli,Renewable,Small Hydro,0
